subid,n.tokens,timestamp,word.len,rt,keypress,correct
10,600,4/17/07 11:39,4,0.683,1,1
10,600,4/17/07 11:39,6,11.566,2,0
10,600,4/17/07 11:39,6,2.768,1,1
10,600,4/17/07 11:39,8,0.918,1,1
10,600,4/17/07 11:39,8,1.332,1,1
10,600,4/17/07 11:40,4,0.542,1,1
10,600,4/17/07 11:40,4,0.602,1,1
10,600,4/17/07 11:40,4,0.731,2,1
10,600,4/17/07 11:40,4,1.224,1,0
10,600,4/17/07 11:40,4,2.993,2,1
10,600,4/17/07 11:40,6,0.809,2,1
10,600,4/17/07 11:40,6,8.867,1,1
10,600,4/17/07 11:40,8,0.572,1,1
10,600,4/17/07 11:40,8,1.087,1,1
10,600,4/17/07 11:40,8,1.267,1,1
10,600,4/17/07 11:40,8,1.464,2,1
10,600,4/17/07 11:41,4,0.693,1,1
10,600,4/17/07 11:41,4,1.486,1,1
10,600,4/17/07 11:41,4,3.675,2,1
10,600,4/17/07 11:41,4,4.658,2,1
10,600,4/17/07 11:41,6,0.542,2,0
10,600,4/17/07 11:41,6,1.68,2,1
10,600,4/17/07 11:41,6,2.683,1,0
10,600,4/17/07 11:41,8,0.698,2,1
10,600,4/17/07 11:41,8,1.162,2,1
10,600,4/17/07 11:41,8,1.751,1,0
10,600,4/17/07 11:42,4,0.756,1,1
10,600,4/17/07 11:42,4,1.025,1,1
10,600,4/17/07 11:42,4,1.872,1,1
10,600,4/17/07 11:42,8,0.746,1,1
1,1200,3/23/07 13:35,4,1.367,2,1
1,1200,3/23/07 13:35,8,0.509,2,1
1,1200,3/23/07 13:36,4,0.719,2,1
1,1200,3/23/07 13:36,4,1.839,2,1
1,1200,3/23/07 13:36,4,3.147,2,1
1,1200,3/23/07 13:36,4,3.226,1,0
1,1200,3/23/07 13:36,6,0.853,1,0
1,1200,3/23/07 13:36,6,0.862,1,0
1,1200,3/23/07 13:36,6,1.077,2,0
1,1200,3/23/07 13:36,6,2.057,2,1
1,1200,3/23/07 13:36,6,2.97,1,1
1,1200,3/23/07 13:36,8,0.788,2,1
1,1200,3/23/07 13:36,8,0.83,1,0
1,1200,3/23/07 13:37,4,1.364,1,0
1,1200,3/23/07 13:37,4,3.834,2,1
1,1200,3/23/07 13:37,6,2.954,2,1
1,1200,3/23/07 13:37,6,3.108,2,0
1,1200,3/23/07 13:37,6,3.842,2,1
1,1200,3/23/07 13:37,8,0.136,2,1
1,1200,3/23/07 13:37,8,0.536,2,1
1,1200,3/23/07 13:37,8,0.807,1,1
1,1200,3/23/07 13:37,8,0.895,1,1
1,1200,3/23/07 13:37,8,0.958,1,1
1,1200,3/23/07 13:37,8,0.973,1,1
1,1200,3/23/07 13:38,4,0.503,1,0
1,1200,3/23/07 13:38,4,1.432,1,1
1,1200,3/23/07 13:38,6,0.567,2,1
1,1200,3/23/07 13:38,6,1.144,2,0
1,1200,3/23/07 13:38,6,1.717,2,1
1,1200,3/23/07 13:38,8,0.529,1,1
11,900,4/17/07 12:06,4,1.341,1,1
11,900,4/17/07 12:06,4,3.374,2,0
11,900,4/17/07 12:06,6,0.734,2,0
11,900,4/17/07 12:06,6,1.095,1,1
11,900,4/17/07 12:06,6,3.684,1,1
11,900,4/17/07 12:06,8,0.326,2,1
11,900,4/17/07 12:06,8,0.859,2,1
11,900,4/17/07 12:07,4,0.283,1,1
11,900,4/17/07 12:07,4,0.336,2,1
11,900,4/17/07 12:07,4,0.48,1,1
11,900,4/17/07 12:07,4,0.596,2,1
11,900,4/17/07 12:07,4,1.43,2,1
11,900,4/17/07 12:07,6,0.314,2,0
11,900,4/17/07 12:07,6,0.504,2,0
11,900,4/17/07 12:07,6,0.609,2,1
11,900,4/17/07 12:07,6,0.835,1,1
11,900,4/17/07 12:07,6,1.335,2,0
11,900,4/17/07 12:07,6,1.73,2,1
11,900,4/17/07 12:07,8,0.25,1,1
11,900,4/17/07 12:07,8,0.27,1,1
11,900,4/17/07 12:07,8,1.096,1,0
11,900,4/17/07 12:08,4,0.305,1,1
11,900,4/17/07 12:08,4,0.695,1,1
11,900,4/17/07 12:08,6,0.466,2,1
11,900,4/17/07 12:08,6,0.783,1,0
11,900,4/17/07 12:08,6,0.977,1,0
11,900,4/17/07 12:08,6,1.264,2,0
11,900,4/17/07 12:08,8,0.39,1,1
11,900,4/17/07 12:08,8,0.409,1,1
11,900,4/17/07 12:08,8,0.589,2,1
13,300,4/17/07 12:23,4,4.465,2,1
13,300,4/17/07 12:23,6,1.463,1,0
13,300,4/17/07 12:23,6,3.754,2,1
13,300,4/17/07 12:23,8,0.976,2,1
13,300,4/17/07 12:24,4,0.318,2,1
13,300,4/17/07 12:24,4,0.672,1,1
13,300,4/17/07 12:24,4,0.859,1,1
13,300,4/17/07 12:24,4,0.882,1,1
13,300,4/17/07 12:24,6,0.447,2,1
13,300,4/17/07 12:24,6,0.536,2,1
13,300,4/17/07 12:24,6,0.581,2,1
13,300,4/17/07 12:24,6,0.588,2,1
13,300,4/17/07 12:24,6,0.705,1,0
13,300,4/17/07 12:24,6,1.489,2,1
13,300,4/17/07 12:24,8,0.414,2,1
13,300,4/17/07 12:24,8,0.617,2,1
13,300,4/17/07 12:24,8,0.85,2,1
13,300,4/17/07 12:25,4,0.589,1,1
