subid,n.types,timestamp,word.len,rt,keypress,correct
10,3,7/26/07 14:32,4,2.062,2,0
10,3,7/26/07 14:32,6,1.365,1,1
10,3,7/26/07 14:32,6,1.915,1,1
10,3,7/26/07 14:32,8,1.624,2,1
10,3,7/26/07 14:32,8,8.616,2,1
10,3,7/26/07 14:33,4,41.712,1,1
10,3,7/26/07 14:33,6,2.347,1,1
10,3,7/26/07 14:33,8,1.005,1,1
10,3,7/26/07 14:34,4,0.711,2,1
10,3,7/26/07 14:34,4,1.842,2,1
10,3,7/26/07 14:34,6,0.916,2,1
10,3,7/26/07 14:34,6,16.839,1,0
10,3,7/26/07 14:34,8,0.307,2,1
10,3,7/26/07 14:34,8,0.357,2,1
10,3,7/26/07 14:34,8,11.119,2,0
10,3,7/26/07 14:35,6,1.008,1,0
10,3,7/26/07 14:35,6,6.664,1,0
10,3,7/26/07 14:35,8,0.789,2,1
10,3,7/26/07 14:35,8,3.102,2,1
10,3,7/26/07 14:35,8,8.001,2,0
10,3,7/26/07 14:36,4,14.129,1,0
10,3,7/26/07 14:36,4,28.631,1,1
10,3,7/26/07 14:36,6,1.505,2,1
10,3,7/26/07 14:36,6,2.631,2,0
10,3,7/26/07 14:36,6,7.613,2,0
10,3,7/26/07 14:36,8,0.766,1,1
10,3,7/26/07 14:37,4,0.713,2,0
10,3,7/26/07 14:37,6,9.792,2,0
10,3,7/26/07 14:37,8,0.766,1,1
10,3,7/26/07 14:37,8,4.643,1,1
11,6,7/29/07 10:31,4,2.712,2,1
11,6,7/29/07 10:31,4,8.704,1,1
11,6,7/29/07 10:31,6,9.411,2,1
11,6,7/29/07 10:31,8,7.531,2,0
11,6,7/29/07 10:32,4,7.827,2,1
11,6,7/29/07 10:32,6,24.945,2,1
11,6,7/29/07 10:32,6,6.189,2,1
11,6,7/29/07 10:32,8,5.763,1,0
11,6,7/29/07 10:33,4,1.637,1,1
11,6,7/29/07 10:33,6,6.627,1,0
11,6,7/29/07 10:33,8,19.48,2,1
11,6,7/29/07 10:33,8,27.2,2,0
11,6,7/29/07 10:34,4,2.475,2,1
11,6,7/29/07 10:34,4,2.726,2,1
11,6,7/29/07 10:34,6,12.305,1,0
11,6,7/29/07 10:34,6,21.672,2,1
11,6,7/29/07 10:34,8,13.123,1,0
11,6,7/29/07 10:35,4,1.803,1,1
11,6,7/29/07 10:35,4,2.073,1,1
11,6,7/29/07 10:35,6,2.81,1,1
11,6,7/29/07 10:35,8,10.126,1,0
11,6,7/29/07 10:35,8,21.742,1,0
11,6,7/29/07 10:36,4,10.516,1,1
