subid,sent.len,timestamp,word.len,rt,keypress,correct
100,2,2/24/07 11:34,6,0.704,2,1
100,2,2/24/07 11:34,6,0.719,2,1
100,2,2/24/07 11:34,6,1.903,1,1
100,2,2/24/07 11:34,6,2.663,2,1
100,2,2/24/07 11:34,8,0.418,1,0
100,2,2/24/07 11:34,8,0.635,1,1
100,2,2/24/07 11:34,8,4.882,2,1
100,2,2/24/07 11:35,4,0.463,1,1
100,2,2/24/07 11:35,4,0.476,2,1
100,2,2/24/07 11:35,4,0.489,1,1
100,2,2/24/07 11:35,4,0.512,1,1
100,2,2/24/07 11:35,4,0.515,1,1
100,2,2/24/07 11:35,4,0.938,1,1
100,2,2/24/07 11:35,6,0.482,2,1
100,2,2/24/07 11:35,6,0.582,1,0
100,2,2/24/07 11:35,6,0.603,2,1
100,2,2/24/07 11:35,8,0.377,2,1
100,2,2/24/07 11:35,8,0.666,1,0
100,2,2/24/07 11:35,8,1.018,2,1
100,2,2/24/07 11:35,8,1.401,2,1
100,2,2/24/07 11:36,4,0.374,2,1
100,2,2/24/07 11:36,6,0.374,1,0
100,2,2/24/07 11:36,6,0.623,1,1
100,2,2/24/07 11:36,6,1.943,1,1
100,2,2/24/07 11:36,8,0.318,2,1
100,2,2/24/07 11:36,8,0.342,1,1
100,2,2/24/07 11:36,8,0.423,1,1
100,2,2/24/07 11:36,8,0.444,2,1
100,2,2/24/07 11:36,8,0.459,1,0
100,2,2/24/07 11:36,8,0.626,1,0
10,12,10/29/06 11:37,6,0.731,1,0
10,12,10/29/06 11:37,6,0.927,1,0
10,12,10/29/06 11:37,8,0.179,2,1
10,12,10/29/06 11:38,4,0.203,2,1
10,12,10/29/06 11:38,4,0.443,1,0
10,12,10/29/06 11:38,4,0.519,1,1
10,12,10/29/06 11:38,4,0.849,1,1
10,12,10/29/06 11:38,4,1.31,1,0
10,12,10/29/06 11:38,6,0.268,2,0
10,12,10/29/06 11:38,6,0.409,1,0
10,12,10/29/06 11:38,6,0.851,1,0
10,12,10/29/06 11:38,6,1.905,2,1
10,12,10/29/06 11:38,8,0.258,2,1
10,12,10/29/06 11:38,8,1.351,1,1
10,12,10/29/06 11:39,4,0.301,1,0
10,12,10/29/06 11:39,4,0.699,2,1
10,12,10/29/06 11:39,4,0.724,2,0
10,12,10/29/06 11:39,4,1.157,2,1
10,12,10/29/06 11:39,6,0.154,2,0
10,12,10/29/06 11:39,6,0.19,2,1
10,12,10/29/06 11:39,6,0.418,1,0
10,12,10/29/06 11:39,6,0.511,1,0
10,12,10/29/06 11:39,6,1.296,1,0
10,12,10/29/06 11:39,8,0.159,1,1
10,12,10/29/06 11:39,8,0.204,1,1
10,12,10/29/06 11:40,4,0.284,1,1
10,12,10/29/06 11:40,6,0.765,1,1
10,12,10/29/06 11:40,6,0.838,2,0
10,12,10/29/06 11:40,8,0.462,2,1
10,12,10/29/06 11:40,8,0.755,2,1
101r1,24,2/24/07 12:05,4,3.336,2,1
101r1,24,2/24/07 12:05,6,0.534,2,1
101r1,24,2/24/07 12:05,6,1.832,1,1
101r1,24,2/24/07 12:05,6,2.085,1,0
101r1,24,2/24/07 12:05,8,0.472,1,1
101r1,24,2/24/07 12:05,8,0.617,2,1
101r1,24,2/24/07 12:06,4,0.708,1,1
101r1,24,2/24/07 12:06,4,0.714,2,0
101r1,24,2/24/07 12:06,4,1.135,1,1
101r1,24,2/24/07 12:06,4,1.783,1,1
101r1,24,2/24/07 12:06,6,0.679,2,0
101r1,24,2/24/07 12:06,6,0.812,1,0
101r1,24,2/24/07 12:06,6,1.612,2,1
101r1,24,2/24/07 12:06,6,2.171,2,1
101r1,24,2/24/07 12:06,8,0.146,1,1
101r1,24,2/24/07 12:06,8,0.445,2,0
101r1,24,2/24/07 12:06,8,0.491,2,1
101r1,24,2/24/07 12:06,8,0.699,1,0
101r1,24,2/24/07 12:06,8,2.036,1,1
101r1,24,2/24/07 12:07,4,0.669,1,1
101r1,24,2/24/07 12:07,4,1.981,2,1
101r1,24,2/24/07 12:07,6,0.528,1,1
101r1,24,2/24/07 12:07,6,1.083,2,0
101r1,24,2/24/07 12:07,6,1.153,2,1
101r1,24,2/24/07 12:07,6,1.369,1,0
101r1,24,2/24/07 12:07,6,1.682,2,0
101r1,24,2/24/07 12:07,6,1.911,2,1
101r1,24,2/24/07 12:07,8,0.509,2,1
101r1,24,2/24/07 12:07,8,0.869,1,0
101r1,24,2/24/07 12:07,8,1.762,2,0
101r2,24,9/26/06 10:46,4,0.51,2,1
101r2,24,9/26/06 10:46,4,0.535,1,1
101r2,24,9/26/06 10:46,4,0.799,2,0
101r2,24,9/26/06 10:46,4,0.931,1,1
101r2,24,9/26/06 10:46,6,0.479,2,1
101r2,24,9/26/06 10:46,6,0.718,2,1
101r2,24,9/26/06 10:46,6,0.855,2,1
101r2,24,9/26/06 10:46,6,1.024,1,0
101r2,24,9/26/06 10:46,8,0.427,2,0
101r2,24,9/26/06 10:46,8,0.819,1,1
101r2,24,9/26/06 10:46,8,0.995,1,1
101r2,24,9/26/06 10:46,8,2.191,1,1
101r2,24,9/26/06 10:47,4,0.374,2,1
101r2,24,9/26/06 10:47,4,0.434,2,0
101r2,24,9/26/06 10:47,4,0.588,2,1
101r2,24,9/26/06 10:47,6,0.538,1,1
101r2,24,9/26/06 10:47,6,1.272,1,1
101r2,24,9/26/06 10:47,6,1.307,1,0
101r2,24,9/26/06 10:47,6,1.562,2,0
101r2,24,9/26/06 10:47,8,0.22,2,1
101r2,24,9/26/06 10:47,8,0.282,1,1
101r2,24,9/26/06 10:47,8,0.312,2,0
101r2,24,9/26/06 10:47,8,0.391,2,1
101r2,24,9/26/06 10:47,8,0.556,1,1
101r2,24,9/26/06 10:47,8,0.69,1,0
101r2,24,9/26/06 10:48,4,1.796,2,0
101r2,24,9/26/06 10:48,6,0.617,2,1
101r2,24,9/26/06 10:48,8,0.293,2,1
101r2,24,9/26/06 10:48,8,0.35,1,1
101r2,24,9/26/06 10:48,8,0.363,2,1
102,12,9/26/06 15:30,4,0.687,2,1
102,12,9/26/06 15:30,4,1.122,2,1
102,12,9/26/06 15:30,4,1.854,1,1
102,12,9/26/06 15:30,4,6.746,2,1
102,12,9/26/06 15:30,6,1.772,2,1
102,12,9/26/06 15:30,8,1.241,2,1
102,12,9/26/06 15:30,8,2.119,2,1
102,12,9/26/06 15:30,8,5.382,1,1
102,12,9/26/06 15:31,4,0.658,2,1
102,12,9/26/06 15:31,4,0.857,1,1
102,12,9/26/06 15:31,4,2.013,1,1
102,12,9/26/06 15:31,4,4.301,1,1
102,12,9/26/06 15:31,6,0.675,2,1
102,12,9/26/06 15:31,6,0.887,2,1
102,12,9/26/06 15:31,6,0.907,1,1
102,12,9/26/06 15:31,6,2.403,2,0
102,12,9/26/06 15:31,8,0.908,2,1
102,12,9/26/06 15:31,8,1.898,2,1
102,12,9/26/06 15:31,8,2.471,1,1
102,12,9/26/06 15:32,4,0.835,1,1
102,12,9/26/06 15:32,4,0.859,1,1
102,12,9/26/06 15:32,4,3.081,1,0
102,12,9/26/06 15:32,4,3.109,1,0
102,12,9/26/06 15:32,6,0.676,1,0
102,12,9/26/06 15:32,6,0.755,1,1
102,12,9/26/06 15:32,6,1.684,1,1
102,12,9/26/06 15:32,6,2.565,2,1
